timestamp,,ozone_pct,,g O3 in sample,total g O3,temperature_c,pressure_mbar,sample_v,ref_v
15:46.3,0,0.13,0.00000,0.0000,0.0000,31.2,1026.3,1.0901,1.19596
15:48.3,2,0.13,0.00000,0.0000,0.0000,31.2,1025.7,1.09022,1.19607
15:50.3,4,0.13,0.00000,0.0000,0.0000,31.2,1026.1,1.09032,1.19622
15:52.4,6,0.13,0.00000,0.0000,0.0000,31.2,1026.1,1.09044,1.19631
15:54.3,8,0.13,0.00000,0.0000,0.0000,31.2,1026.1,1.09056,1.19642
15:56.3,10,0.13,0.00000,0.0000,0.0000,31.2,1026.3,1.09066,1.19655
15:58.3,12,0.13,0.00000,0.0000,0.0000,31.2,1026.3,1.09077,1.19662
16:00.3,14,0.13,0.00000,0.0000,0.0000,31.2,1026.3,1.09091,1.19671
16:02.3,16,0.14,0.00010,0.0000,0.0000,31.2,1026,1.09101,1.19677
16:04.3,18,0.14,0.00010,0.0000,0.0001,31.2,1026.1,1.09113,1.19675
16:06.3,20,0.14,0.00010,0.0000,0.0001,31.2,1026.1,1.09125,1.1966
16:08.3,22,0.14,0.00010,0.0000,0.0001,31.2,1026.1,1.09135,1.19627
16:10.3,24,0.14,0.00010,0.0000,0.0002,31.2,1026,1.09148,1.19575
16:12.3,26,0.14,0.00010,0.0000,0.0002,31.2,1026.1,1.09159,1.195
16:14.3,28,0.14,0.00010,0.0000,0.0003,31.2,1026.3,1.09169,1.19403
16:16.3,30,0.15,0.00020,0.0001,0.0003,31.2,1026.1,1.0918,1.19286
16:18.3,32,0.15,0.00020,0.0001,0.0004,31.2,1026.3,1.09191,1.19162
16:20.3,34,0.16,0.00030,0.0001,0.0005,31.2,1026,1.09204,1.19045
16:22.4,36,0.16,0.00030,0.0001,0.0006,31.2,1026,1.09213,1.18954
16:24.3,38,0.16,0.00030,0.0001,0.0007,31.2,1026.1,1.09225,1.18888
16:26.3,40,0.16,0.00030,0.0001,0.0008,31.2,1026.3,1.09237,1.18832
16:28.3,42,0.17,0.00040,0.0001,0.0010,31.2,1025.9,1.09248,1.18753
16:30.3,44,0.17,0.00040,0.0001,0.0011,31.2,1026.3,1.0926,1.18624
16:32.3,46,0.18,0.00050,0.0002,0.0013,31.2,1026.1,1.09272,1.18457
16:34.3,48,0.18,0.00050,0.0002,0.0015,31.2,1026.3,1.09281,1.18265
16:36.3,50,0.19,0.00060,0.0002,0.0017,31.2,1026.1,1.09293,1.18067
16:38.3,52,0.19,0.00060,0.0002,0.0019,31.2,1026.3,1.09305,1.17874
16:40.4,54,0.2,0.00070,0.0003,0.0021,31.2,1026.3,1.09316,1.17681
16:42.3,56,0.2,0.00070,0.0003,0.0024,31.2,1026.1,1.09326,1.17493
16:44.3,58,0.21,0.00080,0.0003,0.0027,31.2,1026.1,1.09336,1.17318
16:46.3,60,0.22,0.00090,0.0003,0.0030,31.2,1026.3,1.09349,1.17151
16:48.3,62,0.22,0.00090,0.0003,0.0033,31.2,1026.1,1.0936,1.1698
16:50.3,64,0.23,0.00100,0.0004,0.0037,31.2,1026.3,1.0937,1.16795
16:52.3,66,0.23,0.00100,0.0004,0.0040,31.2,1026.3,1.09383,1.16641
16:54.3,68,0.23,0.00100,0.0004,0.0044,31.2,1026,1.09394,1.1654
16:56.3,70,0.24,0.00110,0.0004,0.0048,31.2,1026.3,1.09404,1.16507
16:58.3,72,0.24,0.00110,0.0004,0.0052,31.2,1026.3,1.09416,1.16528
17:00.3,74,0.24,0.00110,0.0004,0.0056,31.2,1026.3,1.09426,1.16563
17:02.3,76,0.23,0.00100,0.0004,0.0059,31.2,1025.9,1.09437,1.16592
17:04.3,78,0.23,0.00100,0.0004,0.0063,31.2,1026.3,1.09449,1.16603
17:06.4,80,0.24,0.00110,0.0004,0.0067,31.2,1026.3,1.0946,1.16596
17:08.3,82,0.24,0.00110,0.0004,0.0071,31.2,1026.1,1.09471,1.16561
