timestamp,esp_ts_ms,elapsed_s,vessel_o3_pct,cell_temp_c,vessel_temp_c,power_pct,phase
2026-03-10 18:03:25.275410,1985868,0.00,0.0,38.0,-999.0,0,baseline
2026-03-10 18:03:27.787532,1987868,2.00,0.0,38.0,17.8,0,baseline
2026-03-10 18:03:30.296678,1989868,4.00,0.0,38.0,17.8,0,baseline
2026-03-10 18:03:32.797958,1993868,8.00,0.0,38.0,17.9,0,baseline
2026-03-10 18:03:35.307510,1995868,10.00,0.0,38.0,17.8,0,baseline
2026-03-10 18:03:37.811117,1997868,12.00,0.0,38.0,17.8,0,baseline
2026-03-10 18:03:40.322093,1999868,14.00,0.0,38.0,17.8,0,baseline
2026-03-10 18:03:42.838200,2003868,18.00,0.0,38.0,17.9,0,baseline
2026-03-10 18:03:45.341651,2005868,20.00,0.0,38.0,17.8,0,baseline
2026-03-10 18:03:47.846435,2007868,22.00,0.0,38.0,17.7,0,baseline
2026-03-10 18:03:50.351330,2009868,24.00,0.0,38.0,17.8,0,baseline
2026-03-10 18:03:52.862005,2013868,28.00,0.0,38.0,18.0,0,baseline
2026-03-10 18:03:55.374317,2015868,30.00,0.0,38.0,17.8,0,baseline
2026-03-10 18:03:57.876319,2017868,32.00,0.0,38.0,17.6,0,baseline
2026-03-10 18:04:00.384981,2019868,34.00,0.0,38.0,17.9,0,baseline
2026-03-10 18:04:11.541283,2031868,46.00,0.0,38.0,17.6,100,fill
2026-03-10 18:04:14.047733,2033868,48.00,0.0,38.0,17.7,100,fill
2026-03-10 18:04:16.556243,2035868,50.00,0.0,38.0,17.7,100,fill
2026-03-10 18:04:19.069314,2039868,54.00,0.0,38.0,18.0,100,fill
2026-03-10 18:04:21.573244,2041868,56.00,0.0,38.0,-999.0,100,fill
2026-03-10 18:04:24.082020,2043868,58.00,0.0,38.0,-999.0,100,fill
2026-03-10 18:04:26.583343,2045868,60.00,0.0,38.0,-999.0,100,fill
2026-03-10 18:04:29.089683,2049868,64.00,0.01,38.0,17.8,100,fill
2026-03-10 18:04:31.597148,2051868,66.00,0.02,38.0,18.0,100,fill
2026-03-10 18:04:34.111343,2053868,68.00,0.03,38.0,17.8,100,fill
2026-03-10 18:04:36.615630,2057868,72.00,0.08,38.0,17.8,100,fill
2026-03-10 18:04:39.129182,2059868,74.00,0.09,38.0,17.8,100,fill
2026-03-10 18:04:41.643440,2061868,76.00,0.1,38.0,17.9,100,fill
2026-03-10 18:04:44.147695,2063868,78.00,0.12,38.0,17.9,100,fill
2026-03-10 18:04:46.654366,2067868,82.00,0.14,38.0,18.1,100,fill
2026-03-10 18:04:49.166582,2069868,84.00,0.14,38.0,17.9,100,fill
2026-03-10 18:04:51.682484,2071868,86.00,0.14,38.0,17.8,100,fill
2026-03-10 18:04:54.191602,2073868,88.00,0.14,38.0,17.9,100,fill
2026-03-10 18:04:56.706954,2077868,92.00,0.14,38.0,18.1,100,fill
2026-03-10 18:04:59.215299,2079867,94.00,0.14,38.0,17.9,100,fill
2026-03-10 18:05:01.724618,2081868,96.00,0.14,38.0,18.1,100,fill
2026-03-10 18:05:04.231701,2083867,98.00,0.14,38.0,18.1,100,fill
2026-03-10 18:05:06.742692,2087868,102.00,0.13,38.0,18.0,100,fill
2026-03-10 18:05:09.246059,2089868,104.00,0.13,38.0,18.0,100,fill
2026-03-10 18:05:11.757448,2091868,106.00,0.13,38.0,18.0,100,fill
2026-03-10 18:05:14.266562,2093868,108.00,0.13,38.0,18.0,100,fill
2026-03-10 18:05:16.768085,2097868,112.00,0.13,38.0,18.0,100,fill
2026-03-10 18:05:19.279975,2099868,114.00,0.12,38.0,18.0,100,fill
2026-03-10 18:05:21.796710,2101868,116.00,0.12,38.0,18.1,100,fill
2026-03-10 18:05:24.302073,2103868,118.00,0.12,38.0,17.9,100,fill
2026-03-10 18:05:26.817036,2107868,122.00,0.12,38.0,18.0,100,fill
2026-03-10 18:05:29.318149,2109868,124.00,0.12,38.0,18.1,100,fill
2026-03-10 18:05:31.827370,2111868,126.00,0.12,38.0,18.1,100,fill
2026-03-10 18:05:34.334256,2113868,128.00,0.11,38.0,18.0,100,fill
2026-03-10 18:05:36.849357,2117868,132.00,0.11,38.0,18.0,100,fill
2026-03-10 18:05:39.365280,2119868,134.00,0.11,38.0,17.9,100,fill
2026-03-10 18:05:41.869348,2121868,136.00,0.11,38.0,18.1,100,fill
2026-03-10 18:05:44.377318,2123868,138.00,0.11,38.0,18.2,100,fill
2026-03-10 18:05:46.889295,2127867,142.00,0.1,38.0,18.1,0,fill
2026-03-10 18:05:49.402818,2129868,144.00,0.1,38.0,18.0,0,fill
2026-03-10 18:05:51.923475,2131868,146.00,0.1,38.0,18.0,0,fill
2026-03-10 18:05:54.431689,2133867,148.00,0.1,38.0,-999.0,0,fill
2026-03-10 18:05:57.269621,2137868,152.00,0.1,38.0,18.1,0,evac
2026-03-10 18:05:59.773608,2139868,154.00,0.1,38.0,18.1,0,evac
2026-03-10 18:06:02.285858,2141868,156.00,0.09,38.0,18.0,0,evac
2026-03-10 18:06:04.796153,2145868,160.00,0.09,38.0,18.0,0,evac
2026-03-10 18:06:07.305100,2147868,162.00,0.09,38.0,18.1,0,evac
2026-03-10 18:06:09.806916,2149868,164.00,0.09,38.0,18.1,0,evac
2026-03-10 18:06:12.313886,2151868,166.00,0.09,38.0,18.1,0,evac
2026-03-10 18:06:14.817443,2155868,170.00,0.09,38.0,17.9,0,evac
2026-03-10 18:06:17.321331,2157868,172.00,0.09,38.0,18.0,0,evac
2026-03-10 18:06:19.829575,2159868,174.00,0.09,38.0,18.0,0,evac
2026-03-10 18:06:22.336596,2161868,176.00,0.09,38.0,18.0,0,evac
2026-03-10 18:06:24.837990,2165868,180.00,0.08,38.0,18.1,0,evac
2026-03-10 18:06:27.353007,2167868,182.00,0.08,38.0,18.0,0,evac
2026-03-10 18:06:29.854236,2169868,184.00,0.08,38.0,18.0,0,evac
2026-03-10 18:06:32.363391,2171868,186.00,0.08,38.0,18.0,0,evac
2026-03-10 18:06:34.871590,2175868,190.00,0.08,38.0,18.1,0,evac
2026-03-10 18:06:37.392117,2177868,192.00,0.08,38.0,18.0,0,evac
2026-03-10 18:06:39.893248,2179868,194.00,0.08,38.0,18.0,0,evac
2026-03-10 18:06:42.405486,2181868,196.00,0.08,38.0,18.1,0,evac
2026-03-10 18:06:44.920052,2185868,200.00,0.08,38.0,18.2,0,evac
2026-03-10 18:06:47.435696,2187868,202.00,0.08,38.0,18.0,0,evac
2026-03-10 18:06:49.938022,2189868,204.00,0.08,38.0,-999.0,0,evac
2026-03-10 18:06:52.442274,2191868,206.00,0.08,38.0,18.1,0,evac
2026-03-10 18:06:54.949205,2195868,210.00,0.07,38.0,18.1,0,evac
