timestamp,time_elapsed,ozone_pct,temperature_c,pressure_mbar,sample_v,ref_v
29:06.2,00:00.0,0.14,27.3,1024.7,0.91033,0.99793
29:08.2,00:02.0,0.14,27.4,1024.7,0.91053,0.99815
29:10.2,00:04.0,0.14,27.4,1024.7,0.91072,0.99836
29:12.2,00:06.0,0.14,27.4,1024.7,0.9109,0.99857
29:14.2,00:08.0,0.14,27.4,1024.8,0.91108,0.99877
29:16.2,00:10.1,0.14,27.4,1024.7,0.91129,0.999
29:18.2,00:12.0,0.14,27.4,1024.8,0.91146,0.9992
29:20.2,00:14.0,0.14,27.4,1024.7,0.91166,0.99939
29:22.2,00:16.1,0.14,27.5,1024.5,0.91183,0.9996
29:24.2,00:18.0,0.14,27.4,1024.5,0.91203,0.99983
29:26.2,00:20.0,0.14,27.5,1024.4,0.91222,1.00003
29:28.2,00:22.0,0.14,27.5,1024.7,0.9124,1.00025
29:30.2,00:24.1,0.14,27.5,1024.7,0.9126,1.00045
29:32.2,00:26.0,0.14,27.5,1024.7,0.91279,1.00067
29:34.2,00:28.0,0.14,27.5,1024.7,0.91297,1.00087
29:36.2,00:30.1,0.14,27.5,1024.7,0.91317,1.00109
29:38.3,00:32.1,0.14,27.6,1024.7,0.91336,1.0013
29:40.2,00:34.1,0.14,27.6,1024.8,0.91353,1.0015
29:42.2,00:36.0,0.14,27.6,1024.9,0.91372,1.00172
29:44.3,00:38.1,0.14,27.6,1024.7,0.91392,1.00193
29:46.2,00:40.0,0.14,27.6,1024.9,0.91411,1.00213
29:48.3,00:42.1,0.14,27.6,1024.7,0.91429,1.00138
29:50.2,00:44.1,0.19,27.6,1024.7,0.91448,0.98713
29:52.2,00:46.0,0.26,27.6,1024.8,0.91465,0.9661
29:54.3,00:48.2,0.26,27.7,1024.7,0.91484,0.96699
29:56.2,00:50.0,0.28,27.7,1024.9,0.91503,0.96149
29:58.3,00:52.1,0.3,27.7,1024.9,0.91523,0.95565
30:00.2,00:54.0,0.32,27.7,1024.7,0.91541,0.9509
30:02.3,00:56.1,0.33,27.7,1024.9,0.91559,0.94663
30:04.2,00:58.1,0.35,27.7,1024.7,0.91578,0.94281
30:06.2,01:00.0,0.37,27.7,1024.9,0.91597,0.93754
30:08.2,01:02.0,0.39,27.7,1025.1,0.91616,0.93014
30:10.2,01:04.0,0.41,27.7,1024.5,0.91633,0.92631
30:12.3,01:06.1,0.41,27.7,1025.1,0.91652,0.92499
30:14.2,01:08.1,0.43,27.7,1024.9,0.91671,0.92152
30:16.3,01:10.1,0.41,27.7,1024.9,0.91688,0.92606
30:18.2,01:12.1,0.46,27.8,1024.9,0.91706,0.91267
30:20.2,01:14.0,0.47,27.8,1025.3,0.91724,0.91103
30:22.2,01:16.1,0.49,27.8,1025.1,0.91744,0.90509
30:24.2,01:18.0,0.5,27.8,1025.1,0.91764,0.90362
30:26.2,01:20.0,0.5,27.8,1025.3,0.91781,0.90389
30:28.2,01:22.1,0.52,27.8,1025.5,0.91799,0.89784
30:30.3,01:24.1,0.55,27.8,1025.5,0.91817,0.88917
30:32.2,01:26.1,0.57,27.8,1025.5,0.91836,0.88565
30:34.2,01:28.0,0.58,27.8,1025.1,0.91855,0.88295
30:36.2,01:30.0,0.58,27.8,1025.5,0.91873,0.88157
30:38.2,01:32.0,0.59,27.8,1025.6,0.91891,0.88074
30:40.3,01:34.1,0.62,27.8,1025.3,0.91909,0.87228
30:42.2,01:36.0,0.63,27.8,1025.5,0.91927,0.87097
30:44.2,01:38.0,0.63,27.8,1025.1,0.91947,0.87111
30:46.2,01:40.1,0.64,27.8,1025.3,0.91963,0.8682
30:48.3,01:42.1,0.67,27.8,1025.5,0.91981,0.86077
30:50.3,01:44.1,0.67,27.8,1025.3,0.92,0.85997
30:52.2,01:46.0,0.67,27.8,1025.3,0.92018,0.85979
30:54.3,01:48.1,0.69,27.8,1025.5,0.92037,0.85532
30:56.2,01:50.1,0.7,27.8,1025.7,0.92055,0.85332
30:58.2,01:52.0,0.73,27.8,1025.6,0.92072,0.84665
31:00.2,01:54.0,0.73,27.8,1025.5,0.9209,0.84723
31:02.2,01:56.0,0.74,27.8,1025.3,0.92108,0.84393
31:04.2,01:58.0,0.73,27.8,1025.5,0.92128,0.84668
31:06.2,02:00.0,0.75,27.8,1025.3,0.92145,0.84143
31:08.2,02:02.0,0.77,27.8,1025.5,0.92163,0.83836
31:10.3,02:04.1,0.77,27.8,1025.3,0.92181,0.83644
31:12.2,02:06.1,0.79,27.8,1025.1,0.922,0.83229
31:14.3,02:08.1,0.81,27.8,1025.1,0.92216,0.82777
31:16.2,02:10.0,0.81,27.8,1025.2,0.92235,0.82866
31:18.2,02:12.0,0.81,27.8,1025.3,0.92252,0.82809
31:20.3,02:14.1,0.81,27.8,1025.2,0.92271,0.82766
31:22.2,02:16.1,0.83,27.8,1025.3,0.92289,0.82376
31:24.3,02:18.1,0.83,27.8,1025.5,0.92305,0.82254
31:26.2,02:20.1,0.85,27.8,1025.3,0.92323,0.81783
31:28.3,02:22.1,0.86,27.8,1025.5,0.92341,0.81586
31:30.3,02:24.1,0.86,27.8,1025.1,0.9236,0.81733
31:32.2,02:26.0,0.88,27.8,1025.3,0.92378,0.81285
31:34.2,02:28.0,0.9,27.8,1025.2,0.92396,0.80805
31:36.2,02:30.0,0.91,27.8,1025.2,0.92412,0.80629
31:38.3,02:32.1,0.91,27.8,1025.2,0.92432,0.80477
31:40.2,02:34.1,0.91,27.8,1025.1,0.92448,0.80464
31:42.3,02:36.1,0.92,27.8,1025.3,0.92465,0.80366
31:44.4,02:38.2,0.92,27.8,1025.2,0.92484,0.80279
31:46.2,02:40.0,0.94,27.8,1025.2,0.92501,0.79876
31:48.3,02:42.1,0.95,27.8,1025.5,0.9252,0.79644
31:50.2,02:44.0,0.96,27.8,1025.5,0.92537,0.7945
31:52.2,02:46.0,0.97,27.8,1025.5,0.92555,0.79288
31:54.2,02:48.1,0.97,27.8,1025.6,0.92573,0.79175
31:56.3,02:50.1,0.97,27.8,1025.3,0.92589,0.79218
31:58.3,02:52.1,0.98,27.8,1025.2,0.92607,0.78974
32:00.2,02:54.0,0.99,27.8,1025.3,0.92624,0.78846
32:02.2,02:56.0,0.99,27.8,1025.3,0.92641,0.78742
32:04.2,02:58.1,1,27.8,1025.3,0.92659,0.78514
32:06.2,03:00.0,1.02,27.8,1025.2,0.92675,0.78274
32:08.2,03:02.0,1.02,27.8,1025.2,0.92695,0.78144
32:10.3,03:04.1,1.02,27.8,1025.3,0.92712,0.7825
32:12.3,03:06.1,1.02,27.8,1025.3,0.92729,0.78118
32:14.2,03:08.0,1.03,27.8,1025.3,0.92746,0.7803
32:16.3,03:10.1,1.04,27.8,1025.2,0.92763,0.77852
32:18.2,03:12.1,1.04,27.8,1025.5,0.92781,0.77714
32:20.3,03:14.1,1.05,27.8,1025.2,0.92798,0.776
32:22.2,03:16.1,1.06,27.8,1025.3,0.92817,0.77411
32:24.2,03:18.0,1.06,27.8,1025.3,0.92835,0.77483
32:26.3,03:20.1,1.06,27.8,1025.3,0.9285,0.7735
32:28.2,03:22.0,1.07,27.8,1025.5,0.92869,0.77145
32:30.4,03:24.2,1.07,27.8,1025.3,0.92885,0.77182
32:32.2,03:26.1,1.08,27.8,1025.2,0.92903,0.76898
32:34.3,03:28.1,1.09,27.8,1025.3,0.9292,0.76851
32:36.2,03:30.0,1.09,27.8,1025.2,0.92937,0.76885
32:38.3,03:32.1,1.09,27.8,1025.3,0.92955,0.76711
32:40.2,03:34.0,1.1,27.8,1025.2,0.92971,0.7648
32:42.2,03:36.1,1.11,27.8,1025.6,0.92989,0.76403
32:44.3,03:38.1,1.11,27.8,1025.3,0.93007,0.76383
32:46.2,03:40.1,1.12,27.8,1025.5,0.93022,0.76268
32:48.3,03:42.1,1.12,27.8,1025.3,0.9304,0.7613
32:50.2,03:44.1,1.12,27.8,1025.5,0.93057,0.76164
32:52.3,03:46.2,1.12,27.8,1025.5,0.93074,0.761
32:54.3,03:48.1,1.13,27.8,1025.5,0.93092,0.76023
32:56.2,03:50.0,1.13,27.8,1025.5,0.93108,0.76003
32:58.3,03:52.1,1.13,27.8,1025.5,0.93126,0.75913
33:00.2,03:54.1,1.15,27.8,1025.6,0.93142,0.75651
33:02.3,03:56.1,1.15,27.8,1025.7,0.93159,0.7564
33:04.3,03:58.1,1.15,27.8,1025.3,0.93176,0.75664
33:06.2,04:00.0,1.15,27.8,1025.5,0.93195,0.75601
33:08.3,04:02.1,1.15,27.8,1025.2,0.93213,0.75565
33:10.2,04:04.0,1.16,27.8,1025.5,0.9323,0.75372
33:12.3,04:06.1,1.17,27.8,1025.3,0.93246,0.75293
33:14.2,04:08.1,1.17,27.8,1025.5,0.93264,0.75185
33:16.3,04:10.1,1.17,27.8,1025.5,0.9328,0.75191
33:18.3,04:12.1,1.18,27.8,1025.5,0.93297,0.75144
33:20.2,04:14.0,1.18,27.8,1025.2,0.93313,0.75078
33:22.2,04:16.0,1.18,27.8,1025.6,0.9333,0.75016
33:24.2,04:18.0,1.19,27.8,1025.3,0.93347,0.74899
33:26.2,04:20.1,1.19,27.8,1025.5,0.93364,0.74885
33:28.2,04:22.0,1.19,27.8,1025.1,0.93381,0.74829
33:30.3,04:24.2,1.19,27.8,1025.2,0.93399,0.74847
33:32.3,04:26.1,1.2,27.8,1025.3,0.93415,0.7477
33:34.3,04:28.1,1.2,27.8,1025.3,0.93432,0.7468
33:36.2,04:30.0,1.21,27.9,1025.2,0.93449,0.74551
33:38.2,04:32.0,1.21,27.9,1025.3,0.93466,0.74419
33:40.2,04:34.0,1.22,27.8,1025.3,0.93483,0.74358
33:42.2,04:36.0,1.22,27.9,1024.9,0.935,0.74446
33:44.3,04:38.1,1.21,27.9,1025.2,0.93517,0.74458
33:46.3,04:40.1,1.22,27.9,1025.2,0.93534,0.74387
33:48.2,04:42.0,1.22,27.9,1025.5,0.93549,0.74343
33:50.3,04:44.1,1.23,27.9,1025.3,0.93566,0.74136
33:52.2,04:46.1,1.24,27.9,1025.2,0.93583,0.74036
33:54.3,04:48.1,1.24,27.9,1025.2,0.93599,0.7406
33:56.2,04:50.0,1.23,27.9,1025.2,0.93616,0.74108
33:58.2,04:52.0,1.24,28,1025.1,0.93633,0.74122
34:00.2,04:54.0,1.24,27.9,1025.1,0.9365,0.74068
34:02.2,04:56.0,1.24,28,1025.2,0.93667,0.74006
34:04.2,04:58.0,1.24,28,1025.2,0.93684,0.73989
34:06.2,05:00.0,1.25,28,1025.5,0.937,0.73901
34:08.3,05:02.1,1.25,28,1025.2,0.93718,0.73897
34:10.2,05:04.1,1.25,28.1,1025.5,0.93735,0.73885
34:12.3,05:06.1,1.25,28,1025.2,0.93751,0.73879
34:14.2,05:08.0,1.26,28.1,1025.3,0.93768,0.73732
34:16.2,05:10.0,1.26,28.1,1025.1,0.93783,0.73691
34:18.3,05:12.1,1.26,28.1,1025.2,0.93803,0.73626
34:20.2,05:14.1,1.27,28.1,1025.2,0.93818,0.73594
34:22.3,05:16.1,1.27,28.1,1025.1,0.93834,0.73619
